iso2,centroid.lon,centroid.lat,capital.lon,capital.lat
CW,-68.966667,12.166667,,
CY,33.0,35.0,33.37,35.17
CY,33.219,35.043,33.37,35.17
CZ,15.0,49.75,14.47,50.08
CZ,14.5,50.0,14.47,50.08
CZ,15.338,49.743,14.47,50.08
CZ,15.5,49.75,14.47,50.08
DK,10.0,56.0,12.58,55.67
DK,9.264,56.058,12.58,55.67
DJ,43.1667,11.55,43.15,11.58
DJ,42.5,11.5,43.15,11.58
DJ,42.5,11.833333,43.15,11.58
DJ,42.516,11.9,43.15,11.58
DJ,43.0,11.5,43.15,11.58
DM,-61.35,15.433333,-61.4,15.3
DM,-61.3333,15.5,-61.4,15.3
DM,-61.3333333333,15.4166666667,-61.4,15.3
DM,-61.356,15.475,-61.4,15.3
DO,-70.6666666667,19.0,-69.9,18.47
DO,-70.729,19.015,-69.9,18.47
EC,-78.25,-1.25,-78.5,-0.22
EC,-77.5,-2.0,-78.5,-0.22
EC,-78.497,-1.385,-78.5,-0.22
EG,30.0,27.0,31.25,30.05
EG,29.872,26.494,31.25,30.05
SV,-88.866,13.736,-89.2,13.7
SV,-88.9166666667,13.8333333333,-89.2,13.7
GQ,10.0,2.0,8.78,3.75
GQ,10.488,1.607,8.78,3.75
ER,39.0,15.0,38.93,15.33
ER,38.219,16.045,38.93,15.33
EE,26.0,59.0,24.72,59.43
EE,25.793,58.674,24.72,59.43
ET,39.5,9.0,38.7,9.03
ET,39.0,8.0,38.7,9.03
ET,39.616,8.626,38.7,9.03
ET,38.0,8.0,38.7,9.03
FK,-58.694,-51.665,-57.85,-51.7
FK,-59.0,-51.75,-57.85,-51.7
FO,-7.0,62.0,-6.77,62.0
FO,-6.864,62.05,-6.77,62.0
FJ,178.0,-18.0,178.42,-18.13
FJ,177.974,-17.819,178.42,-18.13
FJ,175.0,-18.0,178.42,-18.13
FI,26.0,64.0,24.93,60.17
FI,26.272,64.504,24.93,60.17
FR,2.0,46.0,2.33,48.87
FR,0.447725,44.637619,2.33,48.87
FR,2.55,46.565,2.33,48.87
GF,-53.241,3.924,,
GF,-53.0,4.0,,
PF,-140.0,-15.0,-149.57,-17.53
PF,-149.462,-17.626,-149.57,-17.53
TF,77.5333333333,-37.8333333333,,
TF,69.117,-49.302,,
GA,11.75,-1.0,9.45,0.38
GA,11.797,-0.591,9.45,0.38
GM,-15.386,13.453,-16.57,13.45
GM,-16.5666666667,13.4666666667,-16.57,13.45
GE,43.5,42.0,44.83,41.68
GE,43.499905,41.999981,44.83,41.68
GE,43.518,42.176,44.83,41.68
DE,10.5,51.5,13.4,52.52
DE,9.0,51.0,13.4,52.52
DE,9.851,51.11,13.4,52.52
GH,-1.0,8.0,-0.22,5.55
GH,-2.0,8.0,-0.22,5.55
GH,-1.207,7.96,-0.22,5.55
GI,-5.35,36.133333,-5.35,36.13
GI,-5.35,36.1333,-5.35,36.13
GI,-5.345,36.138,-5.35,36.13
GI,-5.35,36.1333333333,-5.35,36.13
GR,22.0,39.0,23.73,37.98
GR,21.766,39.666,23.73,37.98
GL,-40.0,72.0,-51.75,64.18
GL,-41.391,74.719,-51.75,64.18
GD,-61.6667,12.1167,-61.75,12.05
GD,-61.678,12.118,-61.75,12.05
GD,-61.6666666667,12.1166666667,-61.75,12.05
GP,-61.5833,16.25,,
GP,-61.441,16.286,,
GP,-61.5833333333,16.25,,
GU,144.707,13.385,144.73,13.47
GU,144.783333333,13.4666666667,144.73,13.47
GT,-90.3667,14.6333,-90.52,14.62
GT,-90.25,15.5,-90.52,14.62
GT,-90.5,14.6667,-90.52,14.62
GT,-90.398,15.256,-90.52,14.62
GG,-2.58333333333,49.4666666667,-2.53,49.45
GG,-2.576,49.459,-2.53,49.45
GN,-10.0,5.0,-13.7,9.5
GN,-10.0,11.0,-13.7,9.5
GN,-10.666667,10.833333,-13.7,9.5
GN,-10.942,10.439,-13.7,9.5
GW,-15.0,12.0,-15.58,11.85
GW,-14.651,12.125,-15.58,11.85
GY,-59.0,5.0,-58.15,6.8
GY,-60.0,4.0,-58.15,6.8
GY,-58.974,4.792,-58.15,6.8
HT,-72.416667,19.0,-72.33,18.53
HT,-72.4167,19.0,-72.33,18.53
HT,-72.4166666667,19.0,-72.33,18.53
HT,-72.278,19.142,-72.33,18.53
HM,72.5166666667,-53.1,,
HM,73.507,-53.111,,
HN,-86.5,15.0,-87.22,14.1
HN,-86.863,14.819,-87.22,14.1
HK,114.129,22.423,,
HK,114.166666667,22.25,,
HU,20.0,47.0,19.08,47.5
HU,19.134,47.07,19.08,47.5
IS,-18.0,65.0,-21.95,64.15
IS,-18.48,64.764,-21.95,64.15
IN,77.0,20.0,77.2,28.6
IN,79.0,22.0,77.2,28.6
IN,79.619,22.881,77.2,28.6
ID,120.0,0.0,106.82,-6.17
ID,120.0,-5.0,106.82,-6.17
ID,114.252,-0.976,106.82,-6.17
IR,53.0,32.0,51.42,35.7
IR,54.301,32.565,51.42,35.7
IQ,44.0,33.0,44.4,33.33
IQ,43.772,33.048,44.4,33.33
IE,-8.0,53.333333,-6.23,53.32
IE,-8.0,53.0,-6.23,53.32
IE,-8.152,53.177,-6.23,53.32
IM,-4.527,54.229,-4.48,54.15
IM,-4.5,54.25,-4.48,54.15
IL,34.75,31.5,35.23,31.77
IL,34.851,31.026,35.23,31.77
IT,12.833333,42.833333,12.48,41.9
IT,13.0,42.0,12.48,41.9
IT,12.8333,42.8333,12.48,41.9
