iso2,centroid.lon,centroid.lat,capital.lon,capital.lat
MK,21.4932,41.9517,,
ET,41.0236,12.1232,,
TR,30.6938,38.6784,,
NE,10.0991,19.4523,,
UG,33.3941,2.89176,,
MU,56.5372,-10.3512,,
AZ,47.4145,39.971,,
AZ,46.9918,40.0455,,
AZ,47.4132,40.568,,
LV,27.0929,56.0979,,
CI,-4.02187,6.06215,,
TR,43.3647,39.5925,,
IT,13.4938,37.4522,,
AZ,45.4341,41.1896,,
AZ,48.3659,40.5091,,
MX,-102.351,22.0375,,
PH,125.56,9.17346,,
PH,125.761,8.57934,,
TM,59.0838,38.8103,,
SV,-89.9057,13.8657,,
JP,137.214,34.9973,,
WS,-172.039,-13.8904,,
TL,125.619,-8.69661,,
PW,134.533,7.43236,,
FR,5.37744,46.084,,
DZ,2.10714,36.1735,,
DZ,-0.995722,35.2708,,
TL,125.551,-9.03099,,
PW,134.571,7.39952,,
CL,-73.3899,-46.8716,,
FR,3.51554,49.5667,,
CK,-158.892,-19.2709,,
NR,166.913,-0.529816,,
LV,25.228,56.6459,,
LV,21.5943,56.7232,,
GE,42.0537,41.6552,,
LY,21.74,29.0419,,
SI,13.9294,45.9043,,
JO,35.761,32.2932,,
AE,55.5411,25.3971,,
NO,11.2222,60.1365,,
JP,140.334,39.7318,,
PH,122.223,11.5611,,
LV,25.7883,56.1592,,
,32.9713,34.6003,,
TR,33.8772,38.3566,,
NG,7.90963,4.89926,,
IQ,41.5307,33.2317,,
IQ,47.5605,30.6802,,
IQ,45.2843,30.4381,,
IQ,45.1075,31.6081,,
KW,47.9393,28.8653,,
KW,48.3318,29.4497,,
SA,41.4165,20.1605,,
EG,33.7267,25.2164,,
OM,56.8199,23.9794,,
OM,57.6472,23.4299,,
YE,45.3371,14.2903,,
EG,30.2522,30.5945,,
OM,55.9933,24.3888,,
LY,24.0559,30.069,,
QA,51.4671,25.4579,,
YE,44.7937,13.8965,,
OM,55.9327,22.9127,,
KW,47.9381,29.2592,,
EG,30.4584,29.2965,,
EG,31.0287,30.8504,,
YE,43.2214,14.928,,
SA,43.3124,29.227,,
EG,29.754,30.8251,,
EG,32.2811,30.6765,,
LY,21.7222,32.0068,,
KW,48.2027,29.7843,,
BH,50.5622,25.9688,,
SA,38.3651,29.5589,,
YE,45.6137,16.5629,,
LY,13.0352,32.4889,,
EG,29.7204,29.3499,,
LY,17.299,27.9396,,
QA,51.4212,25.7512,,
LY,22.0744,23.7231,,
SA,39.4378,24.9279,,
YE,51.6413,16.8785,,
YE,43.649,15.38,,
BH,50.5777,26.2204,,
LY,21.0132,32.1682,,
LY,14.1357,32.5351,,
EG,31.0029,30.5076,,
EG,30.1604,28.2141,,
BH,50.6376,26.261,,
EG,31.5788,29.9801,,
EG,31.325,30.2725,,
SA,43.2716,25.9478,,
LY,22.5845,31.8165,,
EG,28.9556,24.8314,,
QA,51.4743,24.9661,,
BH,50.5738,26.1373,,
OM,56.8705,20.4263,,
US,-86.7184,32.8551,,
BR,-36.6917,-9.77391,,
CR,-84.7995,10.7527,,
MG,48.3868,-17.8014,,
US,-151.604,65.3609,,
ES,-2.6966,42.8902,,
RO,23.5651,46.1478,,
ES,-1.94309,38.834,,
PH,123.563,13.2254,,
CA,-115.0,55.2816,,
IR,50.7848,35.9651,,
UG,33.2107,2.27138,,
SY,37.601,36.1054,,
IT,8.74818,44.8102,,
DZ,3.09806,36.7024,,
DJ,42.8985,11.2107,,
BJ,2.92598,11.4305,,
ES,-0.533879,38.5418,,
MV,72.9528,4.26451,,
MV,72.9528,3.77293,,
FR,3.18698,46.408,,
KZ,78.2246,45.0707,,
KZ,76.9424,43.2709,,
ES,-2.22473,37.1563,,
WF,-178.094,-14.3029,,
LV,24.8231,57.8074,,
FR,6.24822,44.0454,,
FR,7.18651,43.8699,,
LV,21.5583,56.9915,,
GT,-90.1072,15.6455,,
RU,82.8667,52.4268,,
PY,-59.8709,-21.796,,
PY,-54.9426,-25.3757,,
LV,27.1693,57.4151,,
LT,24.167,54.2544,,
PY,-56.1788,-23.2295,,
YE,44.2115,15.3494,,
BR,-51.6842,1.41157,,
TR,35.7627,40.6379,,
LV,25.3384,57.0794,,
BR,-63.7853,-4.21774,,
CO,-71.9171,-1.26032,,
PE,-77.9695,-5.0485,,
VE,-65.6187,3.36185,,
TL,124.241,-9.32323,,
ET,37.7222,11.6981,,
JO,36.4418,31.6211,,
TH,104.766,15.8583,,
UG,32.6461,1.57677,,
MG,46.7822,-20.5449,,
LK,81.7242,7.1632,,
YE,44.0107,16.0938,,
UG,34.883,1.67258,,
RU,128.354,52.9236,,
UG,33.6359,2.141,,
UG,32.0347,2.9511,,
IQ,43.7551,30.9322,,
VN,105.154,10.5736,,
LB,35.5666,33.3303,,
LY,12.0109,32.6661,,
NR,166.944,-0.497511,,
MG,47.481,-18.4743,,
MG,49.5586,-16.5763,,
NG,6.98472,6.30827,,
GR,25.2076,41.1043,,
PE,-77.6571,-9.53996,,
IT,13.1128,43.5383,,
IN,93.7895,6.83654,,
IN,79.208,16.4854,,
UZ,72.3651,40.4491,,
KM,43.3378,-11.6952,,
KM,44.4518,-12.226,,
AD,1.51066,42.5128,,
ME,19.7688,42.6933,,
MG,45.5069,-24.8192,,
MD,29.1922,46.8817,,
NR,166.936,-0.494702,,
TH,100.357,14.6335,,
PW,134.158,6.91388,,
PH,120.591,15.1453,,
GB,-4.3787,53.2996,,
GB,-2.9155,56.7458,,
CN,117.253,31.9537,,
NR,166.947,-0.519984,,
TR,32.578,39.829,,
DZ,7.53073,36.823,,
GQ,5.62933,-1.44699,,
MG,46.2904,-24.22,,
LC,-61.0189,13.935,,
SC,55.5208,-4.68304,,
SC,55.4923,-4.71357,,
SC,55.4543,-4.58794,,
SC,55.5118,-4.7456,,
ER,39.0563,15.2792,,
TR,30.9564,37.1141,,
AQ,0.238256,-81.6905,,
CO,-75.5071,6.70366,,
NZ,178.801,-49.6532,,
PH,121.469,11.8476,,
CL,-68.8739,-23.3178,,
GB,-6.26057,54.6926,,
BE,4.72122,51.2485,,
LK,80.4711,8.29198,,
VE,-64.1949,9.05586,,
JP,140.769,40.6385,,
IT,7.35059,45.7126,,
UG,32.5241,1.89554,,
SI,15.8873,46.6914,,
PH,121.167,18.1179,,
LV,26.4999,57.4556,,
CH,9.39726,47.3911,,
CH,9.39548,47.3092,,
VE,-68.55,7.0405,,
PE,-72.9662,-14.0317,,
JO,35.3449,29.6276,,
KZ,69.8519,51.928,,
KZ,58.9373,48.0288,,
SY,38.9127,36.0067,,
QA,51.1605,25.1648,,
SA,45.1404,23.3432,,
MK,21.5862,42.0185,,
RO,21.7296,46.3019,,
AM,44.0736,40.3213,,
VE,-67.3252,10.1618,,
AM,44.7304,39.9204,,
CO,-70.8913,6.64307,,
IQ,44.1806,36.2371,,
TF,51.7536,-46.3974,,
TF,69.2725,-49.3179,,
TR,42.8342,41.1809,,
IR,47.7241,38.9113,,
FR,4.4999,44.8014,,
FR,4.62417,49.5403,,
GB,-5.62705,54.5164,,
PE,-72.4209,-15.8757,,
IT,11.7758,43.5298,,
RO,24.8859,44.9867,,
GB,-5.14339,56.2296,,
MN,100.92,48.0061,,
CL,-69.6804,-18.3207,,
FR,1.53654,42.9046,,
TT,-61.2804,10.6284,,
US,-111.935,34.3046,,
US,-92.1428,34.7563,,
RU,41.9939,63.3132,,
GB,-6.62144,54.3304,,
AM,44.0464,40.0992,,
DJ,42.8032,11.4461,,
CU,-82.6903,22.8546,,
UY,-56.9399,-30.5719,,
TR,41.8331,41.0175,,
UG,31.1339,2.7887,,
AW,-69.9689,12.5147,,
IN,94.4673,28.4056,,
TZ,36.0865,-3.02634,,
IQ,45.4331,35.332,,
SY,36.9153,32.7577,,
EG,32.1523,29.6098,,
SH,-14.3701,-7.91916,,
IT,13.5862,42.9054,,
BH,50.4868,26.1624,,
EG,31.8817,30.8161,,
SA,50.1714,22.9875,,
OM,58.565,22.2943,,
OM,58.9632,21.5958,,
LY,12.8352,27.8732,,
GH,-1.3296,6.75219,,
,123.586,-12.4325,,
SA,42.9503,19.3484,,
MR,-11.7106,16.5835,,
IN,92.9929,26.3302,,
KZ,71.4538,51.1503,,
AZ,48.7049,38.4938,,
IT,8.17036,44.9236,,
RU,47.7227,47.0334,,
ES,-5.84196,43.3261,,
PY,-57.5735,-25.3096,,
EG,32.2794,22.6543,,
EG,31.1431,27.2223,,
IQ,44.0354,35.3281,,
CL,-69.9123,-27.4469,,
BJ,1.55782,10.7035,,
CK,-158.089,-20.0232,,
CO,-74.9941,10.6712,,
NI,-84.1501,13.997,,
NI,-84.2147,12.2265,,
HN,-87.0783,15.6343,,
BJ,2.22263,6.61657,,
MG,44.4011,-23.3142,,
MG,47.3774,-23.3142,,
MG,48.9044,-18.9143,,
LA,106.866,14.7848,,
MT,14.4318,35.8878,,
GR,23.7997,38.0626,,
WS,-171.592,-14.0212,,
KZ,51.7585,47.7744,,
SC,55.5138,-4.70356,,
FR,4.16252,48.3125,,
LV,22.9664,56.4782,,
NZ,174.597,-36.6334,,
NZ,166.11,-50.7664,,
FR,2.48157,43.1004,,
PH,121.756,16.1271,,
NO,8.14878,58.6698,,
PF,-151.324,-22.5218,,
AU,148.983,-35.4618,,
IS,-15.2246,65.4363,,
PT,-8.4394,40.6738,,
IT,15.1044,40.9404,,
FR,2.66383,44.2884,,
ES,-4.87934,40.5611,,
PE,-73.9838,-13.9245,,
TR,27.9573,37.7292,,
MM,95.1083,16.7457,,
GR,24.1925,40.2922,,
LY,12.4868,32.4551,,
PK,73.8036,33.868,,
PT,-28.0394,38.6351,,
DO,-70.8169,18.5981,,
EC,-79.0909,-3.15279,,
VN,107.143,10.3969,,
MV,72.9751,4.88218,,
AZ,45.3373,39.1871,,
IQ,44.5099,32.6833,,
LV,23.7639,56.8913,,
VN,106.493,21.3512,,
VN,105.573,9.33941,,
VN,106.117,21.098,,
RO,26.7643,46.4067,,
PH,122.986,10.6592,,
HU,19.4699,46.6096,,
ES,-6.26724,38.5731,,
AF,70.8036,36.781,,
DE,9.00328,48.59,,
AF,63.8495,35.2699,,
LK,81.0255,7.05184,,
GW,-14.707,12.1429,,
CI,-7.67511,8.11221,,
IQ,44.3827,33.306,,
AF,68.9831,35.8588,,
NP,85.3494,27.8491,,
MM,96.1485,18.518,,
PH,120.605,16.4059,,
BR,-41.8027,-12.3651,,
DO,-71.307,18.5116,,
SC,55.4918,-4.75461,,
SC,55.76,-4.32918,,
NR,166.925,-0.500672,,
MX,-115.209,30.3399,,
MX,-111.452,25.0656,,
GT,-90.3946,15.0766,,
,-79.8458,15.7919,,
UM,-176.479,0.194931,,
AZ,50.0435,40.4447,,
SO,43.835,4.40611,,
MW,35.0792,-15.037,,
AZ,46.4478,41.7393,,
LV,24.3555,56.7316,,
BF,-3.06879,11.8279,,
ES,2.99156,39.6162,,
ID,115.179,-8.3412,,
TR,27.8355,39.7193,,
TM,55.2571,39.7244,,
AF,67.2185,36.6851,,
GB,-6.22753,54.9003,,
GB,-6.4032,55.0525,,
JO,35.7216,31.8345,,
MD,27.9516,47.7763,,
LV,27.6041,56.924,,
PK,65.5512,27.5194,,
LV,27.4348,57.0151,,
MT,14.4524,35.8952,,
LI,9.50603,47.0701,,
BF,-1.57778,13.4455,,
ML,-8.01917,12.643,,
CF,20.6318,8.21272,,
AF,67.2365,34.9693,,
SO,45.436,2.12409,,
GB,-6.17154,54.3466,,
CD,18.4474,-4.61778,,
ID,106.819,-2.95817,,
TH,100.626,13.793,,
CF,18.5457,4.38332,,
EG,30.5041,28.8948,,
BA,17.2619,44.8146,,
GM,-16.6831,13.4063,,
SK,19.477,48.5213,,
KH,102.873,13.7359,,
ID,106.167,-6.25794,,
BF,-4.10849,12.1648,,
ME,19.1463,42.1416,,
DO,-71.1872,18.1674,,
HU,17.9611,45.9602,,
AG,-61.792,17.6155,,
ES,2.00777,41.6575,,
TD,16.9496,14.5304,,
IT,16.7706,40.928,,
SO,50.1777,9.95583,,
GY,-59.7502,7.74233,,
VE,-69.9798,8.22379,,
BD,90.2369,22.4351,,
GB,0.133951,51.5379,,
IT,16.1413,41.1638,,
GB,-0.204805,51.6115,,
GB,-1.45688,53.5347,,
TR,32.4688,41.5857,,
CD,14.2052,-5.31907,,
FR,7.56628,48.6179,,
CI,-6.67522,5.47996,,
MD,28.8846,46.3726,,
CH,7.72662,47.5056,,
CH,7.5898,47.5605,,
RU,56.5575,54.2086,,
PH,122.059,6.49955,,
CF,21.3019,5.00365,,
PH,120.42,14.6561,,
PH,121.951,21.1164,,
PH,121.076,13.9268,,
KH,103.068,12.9675,,
GB,-2.49591,51.3476,,
TD,18.6222,14.0823,,
KG,70.8882,39.7902,,
TR,41.4262,37.7343,,
DZ,5.78213,35.5923,,
TL,126.476,-8.53729,,
NG,9.88584,10.4101,,
LV,24.269,56.4223,,
SO,43.545,2.67209,,
NZ,176.858,-38.2161,,
MN,89.8127,48.8811,,
MN,99.6955,45.8317,,
TR,40.3056,40.2859,,
NG,5.97421,4.73907,,
DE,11.3966,49.0056,,
,63.3524,45.9632,,
BF,-1.46488,11.9332,,
MU,57.4713,-20.2387,,
SC,55.4317,-4.60295,,
DZ,-2.81838,30.1882,,
GB,-0.470004,52.1788,,
CN,116.389,39.9488,,
LB,35.5093,33.8849,,
PT,-7.88716,37.8511,,
TN,9.37605,36.5828,,
DZ,4.91591,36.6189,,
HU,20.8362,46.592,,
HU,21.0968,46.7499,,
SC,55.4483,-4.63198,,
SC,55.4092,-4.62448,,
BN,114.408,4.45555,,
GB,-5.93684,54.6113,,
RU,37.277,50.8757,,
BZ,-88.4189,17.5367,,
IT,12.1449,46.3169,,
SI,16.2307,46.6086,,
TN,10.1941,36.6125,,
VN,106.496,10.171,,
MD,29.6966,46.7897,,
SI,15.8981,46.6136,,
IT,14.7663,41.2325,,
LY,20.6182,31.2887,,
ID,102.368,-3.48606,,
AO,13.907,-8.99949,,
AO,13.8119,-12.7993,,
PH,120.689,16.545,,
ET,35.6017,10.5396,,
NG,8.70736,7.48719,,
LB,36.1086,34.0494,,
ME,19.9003,42.8198,,
AL,20.0865,40.6441,,
AZ,47.2467,40.3534,,
LS,27.8982,-29.1918,,
IT,9.77093,45.8097,,
DE,13.4213,52.5131,,
CH,7.65026,46.7988,,
MK,22.8027,41.6344,,
BS,-77.8527,25.7591,,
MG,47.1963,-17.232,,
LV,25.592,57.5293,,
GB,0.152477,51.4546,,
GN,-8.40726,8.81391,,
AZ,47.6611,39.7591,,
NP,81.7802,28.4501,,
NP,87.3229,27.0937,,
AO,17.4921,-12.7997,,
IT,8.08936,45.5932,,
IN,85.8134,25.6853,,
RO,22.1155,47.0865,,
BA,19.1471,44.7513,,
ME,19.7579,43.0174,,
TR,30.2002,40.0387,,
AZ,48.3681,39.4604,,
PH,124.487,11.5911,,
BS,-79.2811,25.7074,,
TR,40.646,39.0743,,
VN,108.971,14.1075,,
VN,106.659,11.1382,,
VN,106.897,11.6805,,
VN,108.232,11.1284,,
CL,-72.3475,-36.9791,,
GQ,8.79508,3.66783,,
GQ,8.64291,3.42557,,
GW,-15.7839,11.8108,,
MT,14.526,35.8871,,
MT,14.4662,35.8934,,
GB,-1.81614,52.4782,,
MT,14.5236,35.8281,,
KG,74.5877,42.8424,,
DZ,5.46698,34.7569,,
GW,-15.6119,11.8919,,
SI,15.5811,46.1454,,
RO,24.5132,47.1789,,
TR,42.3462,38.5155,,
MK,21.2925,41.0402,,
TN,9.67332,37.1109,,
ES,-2.7953,43.2392,,
HR,16.9948,45.7207,,
BS,-76.3623,24.072,,
GB,-2.44291,53.705,,
GB,-3.00469,53.8406,,
GB,-3.1998,51.7719,,
BG,23.5213,41.743,,
MW,34.9413,-15.6875,,
SI,14.0001,46.3898,,
SE,15.2163,56.2929,,
DZ,2.99331,36.503,,
SI,14.5092,45.7836,,
AI,-63.0943,18.1889,,
SD,34.1155,11.1657,,
CV,-22.807,16.1024,,
NI,-85.4734,12.524,,
TL,125.219,-8.98073,,
PA,-82.6597,9.20739,,
NR,166.916,-0.538594,,
MG,46.3149,-16.3187,,
GN,-14.0764,10.3994,,
MK,22.5841,41.1772,,
CO,-74.2443,4.08564,,
MK,20.869,41.945,,
SI,13.9538,46.2961,,
PH,124.248,9.84875,,
GN,-14.3088,11.1674,,
LA,100.672,20.3044,,
GW,-15.962,11.5187,,
LA,104.039,18.538,,
CO,-74.1807,8.57823,,
EC,-79.1205,-1.67621,,
VE,-63.8628,6.00608,,
IT,11.4149,44.3949,,
GB,-2.42876,53.5887,,
TR,31.6806,40.5854,,
LR,-10.7753,6.75329,,
NL,-68.3029,12.2314,,
LR,-9.80604,6.99958,,
MG,46.1092,-18.6296,,
PY,-60.9776,-22.0943,,
DZ,4.66926,36.0966,,
SM,12.4389,43.9337,,
BJ,2.90363,9.80668,,
TD,19.4819,18.8249,,
NG,13.1533,12.0019,,
SI,14.3756,45.9095,,
RS,22.2686,44.3824,,
HU,21.0983,48.2104,,
MK,22.7665,41.4665,,
BA,18.8198,43.6774,,
RO,26.7668,47.868,,
FR,5.40444,43.5324,,
CG,13.491,-4.36333,,
BF,-3.42349,10.8979,,
DZ,3.84375,36.1884,,
BF,-0.43666,11.4767,,
BF,-2.13572,12.3143,,
DZ,3.60632,36.7503,,
NZ,179.069,-47.7136,,
GB,-1.86297,50.7378,,
NO,3.41677,-54.4151,,
SI,13.6184,46.3725,,
CO,-72.933,5.68515,,
IT,11.4411,46.707,,
GB,-0.763967,51.3929,,
GB,-1.78384,53.8466,,
PT,-8.31863,41.5663,,
PT,-6.81935,41.5188,,
RO,27.6204,45.1346,,
MR,-13.6298,17.0824,,
DE,12.9206,52.8156,,
,21.048,60.4104,,
RS,21.5363,44.4632,,
SI,15.0327,46.2889,,
RO,25.3749,45.7729,,
SK,17.1882,48.2935,,
CV,-24.7204,14.851,,
CG,15.3319,-4.06879,,
BA,18.854,44.8305,,
SI,13.5437,46.0189,,
DE,8.74299,53.1211,,
GB,-0.252266,51.5578,,
IT,10.3574,45.631,,
BY,25.3826,52.4289,,
SI,15.6036,45.9082,,
SI,14.4279,45.9479,,
MD,26.9644,48.2646,,
GB,-3.60687,51.5414,,
GB,-0.1065,50.8421,,
IT,17.711,40.6195,,
GB,-2.60107,51.4624,,
CA,-124.662,54.6943,,
IO,71.7425,-5.28054,,
VG,-64.5854,18.3536,,
LV,22.6412,56.7003,,
MK,21.2133,41.6303,,
HR,17.8112,45.1454,,
HR,17.6849,45.3863,,
SR,-55.1215,4.71274,,
GB,0.0463722,51.3652,,
GH,-1.42805,8.16555,,
BN,114.92,4.90214,,
BE,4.36266,50.8332,,
MK,21.066,41.8465,,
RU,33.2803,53.0868,,
NR,166.925,-0.527877,,
BI,29.3862,-3.1045,,
RO,26.0999,44.467,,
GB,-0.806599,51.7717,,
UG,33.9867,1.09635,,
HU,19.1282,47.4757,,
UG,34.3979,1.03321,,
ME,18.8929,42.3039,,
TH,103.752,18.1565,,
AR,-60.1133,-36.6734,,
UG,33.7627,0.536737,,
UG,30.3282,-0.351995,,
UG,33.0039,0.187461,,
BI,29.3689,-3.39861,,
BI,29.4237,-3.61843,,
UG,34.1286,1.34244,,
UZ,63.7729,39.946,,
PH,125.002,7.99493,,
UG,31.6487,-0.114634,,
UG,34.6781,1.26283,,
PH,121.003,14.9603,,
UG,34.2883,1.29497,,
ZW,28.5463,-20.1393,,
MN,103.196,49.0014,,
UG,31.4315,1.95839,,
BT,90.7042,27.7219,,
UG,30.0508,0.738092,,
EG,32.4293,31.1245,,
TR,30.1627,37.5001,,
BG,27.2597,42.5385,,
AT,16.3584,47.4281,,
ES,-3.60703,42.348,,
TH,102.971,14.699,,
TR,29.0593,40.1314,,
LV,25.3393,57.6809,,
BI,29.5672,-3.85152,,
GB,-2.30878,53.5827,,
RU,109.341,52.9061,,
KR,129.082,35.1928,,
IR,51.4225,28.8273,,
UG,30.1245,-0.471119,,
UG,34.0041,0.412014,,
NO,9.04573,60.4253,,
UG,33.9295,0.881707,,
UG,32.0026,0.135674,,
MK,21.4665,42.0738,,
LS,28.5244,-28.8328,,
PH,125.542,8.94346,,
UG,33.2585,0.0968329,,
UG,33.1662,1.24749,,
RO,26.7347,45.2071,,
VN,105.073,9.05545,,
PY,-55.8821,-25.2234,,
PY,-56.0049,-26.2005,,
SV,-88.7326,13.9079,,
AO,12.543,-4.80148,,
MZ,39.3146,-12.51,,
ES,-6.08204,39.7279,,
GW,-16.0628,12.19,,
ES,-5.82488,36.4828,,
GB,-3.18286,51.6407,,
PH,121.641,17.9242,,
PH,124.693,8.45874,,
IT,9.2574,39.4502,,
MD,28.3144,45.64,,
MK,21.4367,41.9946,,
PE,-78.6091,-6.81775,,
MD,28.3373,47.2892,,
RO,27.1514,44.3144,,
CO,-75.2793,5.29037,,
GB,-1.95182,53.7446,,
US,-119.591,36.7496,,
PE,-77.2248,-12.0859,,
PE,-69.9802,-15.1677,,
PH,120.99,14.6402,,
IT,14.1598,37.223,,
FR,-0.288724,49.0601,,
CU,-77.9304,21.3675,,
PH,122.699,14.1942,,
PH,123.365,13.6733,,
GB,0.0158056,52.3476,,
GB,-0.150541,51.5491,,
MD,28.7044,48.0369,,
PH,124.722,9.17353,,
NZ,169.183,-52.5455,,
MX,-90.2807,18.6624,,
IT,14.7413,41.6425,,
VN,105.685,10.2421,,
TR,26.8233,40.0553,,
EC,-78.9978,-2.54413,,
UY,-55.9228,-34.5473,,
AD,1.60543,42.5842,,
PY,-55.2022,-24.2567,,
TR,33.2142,40.7087,,
SI,16.0462,46.7083,,
BI,30.5612,-3.11103,,
ES,-4.02085,43.2182,,
FR,2.74821,45.1592,,
MD,28.3107,46.262,,
NZ,171.813,-43.4,,
VN,106.047,22.7595,,
SB,160.019,-9.44658,,
PH,122.633,11.3673,,
NA,23.1229,-17.8491,,
CO,-73.8097,0.615494,,
VE,-67.9745,10.1548,,
RO,22.0247,45.0625,,
NI,-86.2874,11.7692,,
IT,8.57559,39.2402,,
EC,-78.0243,0.686611,,
GB,-3.1785,51.5049,,
MU,59.4963,-16.8188,,
IE,-6.79431,52.715,,
GB,-4.20485,51.8622,,
LV,24.2464,57.1203,,
GD,-61.4461,12.4733,,
GB,-5.79899,54.7431,,
CR,-83.6991,9.78411,,
CO,-71.4622,5.46249,,
SC,55.4988,-4.66702,,
IT,14.1425,41.2156,,
MK,21.5939,41.5807,,
ES,-0.0975114,40.222,,
PT,-7.58224,39.9984,,
GB,-5.85407,54.536,,
LC,-60.9749,14.0004,,
BS,-75.3894,24.2583,,
AR,-67.0086,-26.7709,,
PH,124.222,13.8305,,
IT,14.969,37.5882,,
IT,16.4736,38.878,,
CO,-77.277,2.61609,,
MD,29.3728,46.6185,,
IE,-7.27176,53.9623,,
PH,120.836,14.2563,,
KY,-81.2592,19.3167,,
BZ,-88.8833,16.9902,,
BR,-39.3429,-5.37602,,
AZ,46.9823,39.2768,,
PH,123.695,10.269,,
PH,123.899,10.3024,,
AZ,48.4338,39.1757,,
SI,15.2874,46.2398,,
MK,21.4226,41.9752,,
MK,20.5799,41.4644,,
BW,26.6144,-21.8775,,
FJ,178.132,-18.3823,,
GH,-1.26555,5.49477,,
KE,36.8463,-0.709986,,
PG,148.034,-9.84123,,
PY,-57.5265,-25.6711,,
SB,159.825,-9.14003,,
ZM,28.3755,-14.5199,,
BS,-77.1179,26.4215,,
HK,114.144,22.2741,,
BS,-77.9355,24.4757,,
GB,-0.376341,52.0236,,
BA,17.6547,44.1028,,
SD,23.3467,12.1983,,
BS,-76.176,25.1588,,
,31.2854,4.68142,,
FI,25.3934,62.5246,,
FI,24.0097,63.6751,,
GM,-14.9804,13.637,,
SG,103.846,1.31704,,
CM,11.7383,4.73268,,
HT,-72.0025,19.029,,
TG,1.00462,8.5878,,
GQ,10.4494,1.46235,,
GB,-4.17527,52.1793,,
SI,14.5061,46.2524,,
SI,14.3817,45.7886,,
SI,13.9799,46.1335,,
SI,15.9531,46.5598,,
UY,-54.2281,-32.2963,,
CO,-73.4339,9.84893,,
MK,22.2896,41.8644,,
LV,25.4307,57.2396,,
LV,26.275,57.0099,,
ME,18.8954,42.4993,,
ES,-5.341,35.8803,,
TH,101.419,13.6342,,
AR,-60.8752,-26.509,,
KP,126.404,40.6548,,
TT,-61.4134,10.5359,,
IR,50.5298,31.9975,,
TH,100.013,15.1055,,
TH,101.877,16.0138,,
SV,-89.0591,14.1895,,
LA,106.003,14.1093,,
IN,76.7605,30.7452,,
TW,120.464,24.0016,,
TH,102.139,12.8117,,
MA,-7.0775,33.0977,,
TM,63.4465,38.6421,,
FR,0.154828,45.6998,,
FR,-0.714301,45.8441,,
TD,16.2095,11.468,,
VC,-61.1475,13.2825,,
NZ,-176.174,-44.2722,,
RU,45.757,43.2153,,
RU,60.2383,54.1131,,
FR,2.51907,47.1356,,
UA,31.2241,49.1506,,
UA,32.0287,51.2597,,
UA,26.2156,48.2892,,
GB,-2.21364,53.2396,,
GB,-2.76774,53.1671,,
IN,82.3069,21.8044,,
BT,89.5247,27.0361,,
TH,98.6967,18.8368,,
TH,99.9059,19.9607,,
MX,-92.581,16.527,,
TW,120.26,23.4465,,
TW,120.441,23.4822,,
JP,140.318,35.489,,
SM,12.4095,43.9069,,
IT,14.3997,42.1033,,
MX,-106.232,28.973,,
MW,34.6636,-16.1524,,
GT,-90.8859,14.7313,,
EC,-78.7417,-1.88915,,
PG,144.894,-6.27374,,
MM,93.3727,21.9262,,
NI,-87.1702,12.7475,,
GT,-89.4399,14.6668,,
MW,35.2224,-15.7358,,
BT,90.1671,27.0316,,
PA,-82.0992,8.30824,,
MD,28.822,47.0348,,
RU,116.559,52.159,,
MW,33.8876,-10.0267,,
MW,33.4345,-9.88572,,
BD,92.1333,22.4245,,
DZ,1.21078,36.2337,,
CO,-76.7263,5.38283,,
LC,-61.0296,13.7912,,
SB,157.547,-7.40991,,
HN,-87.1074,13.2587,,
TH,101.278,13.2988,,
CN,107.73,30.0173,,
NI,-85.1156,12.0292,,
BB,-59.538,13.0873,,
KN,-62.7582,17.364,,
,105.648,-10.4913,,
AR,-67.8642,-43.9995,,
RU,170.516,66.7517,,
TH,99.0755,10.3809,,
BO,-63.9529,-20.0848,,
FM,151.839,7.44003,,
RU,47.1662,55.4883,,
KG,75.1456,42.6512,,
BI,29.2407,-2.86742,,
LV,27.8618,56.6132,,
CU,-78.6388,21.9626,,
CU,-80.4831,22.3253,,
MD,28.7794,46.5885,,
GB,-0.0868102,51.5169,,
BS,-78.6252,26.5339,,
BM,-64.7884,32.2938,,
BY,27.6424,53.9005,,
BM,-64.6742,32.3747,,
RU,30.2901,59.8064,,
AR,-58.4527,-34.6202,,
CU,-82.3075,23.0737,,
ES,-3.74727,38.8936,,
GB,-3.70779,56.1431,,
IE,-9.10704,52.8909,,
JM,-77.3109,17.9947,,
,-109.222,10.2973,,
RO,23.5307,46.7479,,
MX,-101.885,27.4473,,
KE,39.5816,-2.51514,,
BO,-65.6137,-17.2884,,
PA,-80.4314,8.57708,,
,96.905,-12.1915,,
PT,-8.32193,40.1645,,
VE,-68.3738,9.30182,,
GB,-6.68879,55.0562,,
MX,-103.915,19.1325,,
BJ,2.17251,8.00513,,
HN,-85.7236,15.7786,,
PA,-79.9683,9.17018,,
UY,-57.6787,-34.1954,,
US,-105.543,38.9998,,
HN,-87.678,14.6577,,
SR,-54.8961,5.7072,,
IT,9.1586,45.9389,,
PH,125.984,7.52967,,
MD,28.6386,46.191,,
GN,-13.6847,9.5392,,
PY,-57.0543,-22.8458,,
US,-72.7594,41.6486,,
RO,28.4763,44.5099,,
DZ,6.68301,36.3731,,
GB,-3.7349,53.1274,,
GB,-6.70918,54.6262,,
HN,-88.9362,14.8909,,
